city,Locality,BHK,Area,Furnishing,Rent
Delhi,Uttam Nagar,2.0,500.0,Semi-Furnished,8500
Delhi,Model Town,3.0,1020.0,Furnished,48000
Delhi,Sector 13 Rohini,2.0,810.0,Unfurnished,20000
Delhi,DLF Farms,3.0,750.0,Semi-Furnished,11000
Delhi,laxmi nagar,3.0,1300.0,Furnished,20000
Delhi,Swasthya Vihar,3.0,1200.0,Furnished,35000
Delhi,Janakpuri,3.0,1100.0,Semi-Furnished,39000
Delhi,Pitampura,4.0,2500.0,Semi-Furnished,90000
Delhi,Gagan Vihar,2.0,1162.0,Semi-Furnished,10000
Delhi,Dabri,3.0,900.0,Semi-Furnished,20000
Delhi,Govindpuri Extension,2.0,750.0,Semi-Furnished,15000
Delhi,Paschim Vihar,2.0,1100.0,Semi-Furnished,24000
Delhi,Vijay Nagar,2.0,1150.0,Furnished,35000
Delhi,Vasant Kunj,3.0,2000.0,Semi-Furnished,59000
Delhi,Safdarjung Enclave,1.0,1350.0,Semi-Furnished,35000
Delhi,Vasant Kunj,2.0,1000.0,Furnished,45000
Delhi,Janakpuri,3.0,1100.0,Semi-Furnished,32500
Delhi,Hauz Khas,4.0,2200.0,Semi-Furnished,220000
Delhi,Bali Nagar,3.0,1800.0,Semi-Furnished,43000
Delhi,Rajouri Garden,2.0,900.0,Furnished,30000
Delhi,Shalimar Bagh,3.0,1350.0,Furnished,68000
Delhi,Rajouri Garden,3.0,1850.0,Furnished,55000
Delhi,Green Park,1.0,1500.0,Semi-Furnished,40000
Delhi,Vasant Kunj,3.0,1300.0,Semi-Furnished,40000
Delhi,Dr Mukherji Nagar,3.0,1440.0,Furnished,60000
Delhi,Subhash Nagar,1.0,600.0,Semi-Furnished,20000
Delhi,DLF Phase 5,1.0,750.0,Furnished,33500
Delhi,Jasola,3.0,1600.0,Semi-Furnished,43000
Delhi,Dwarka Mor,2.0,2400.0,Semi-Furnished,11000
Delhi,Kaushambi,3.0,2000.0,Semi-Furnished,34000
Delhi,Surajmal Vihar,3.0,2025.0,Semi-Furnished,58000
Delhi,Sector 4 Dwarka,3.0,1500.0,Furnished,38000
Delhi,Sector 6 Dwarka,3.0,2200.0,Furnished,60000
Delhi,Vasant Kunj,1.0,600.0,Furnished,25000
Delhi,Sector 14 Dwarka,1.0,700.0,Furnished,18000
Delhi,Sarvodaya Enclave,2.0,900.0,Furnished,65000
Delhi,Paschim Vihar,3.0,1350.0,Semi-Furnished,44000
Delhi,Uttam Nagar,3.0,1050.0,Furnished,28500
Delhi,Chattarpur,1.0,450.0,Semi-Furnished,18000
Delhi,DLF Farms,8.0,7200.0,Semi-Furnished,1400000
Delhi,Patel Nagar,1.0,680.0,Furnished,17140
Delhi,Uttam Nagar,2.0,650.0,Semi-Furnished,12000
Delhi,Ramesh Nagar,1.0,600.0,Furnished,17000
Delhi,Mayur Vihar II,2.0,1100.0,Semi-Furnished,22000
Delhi,Naraina,2.0,1125.0,Semi-Furnished,30000
Delhi,Greater Kailash,3.0,1800.0,Semi-Furnished,70000
Delhi,DLF Phase 5,3.0,2500.0,Furnished,65000
Delhi,Chittaranjan Park,3.0,1250.0,Furnished,48000
Delhi,Naraina,1.0,800.0,Unfurnished,14000
Delhi,Sector 19 Dwarka,2.0,900.0,Semi-Furnished,25000
Delhi,Sector 23 Dwarka,3.0,1500.0,Semi-Furnished,35000
Delhi,Sector 6 Dwarka,3.0,1900.0,Furnished,42000
Delhi,Lajpat Nagar III,3.0,1801.0,Semi-Furnished,59999
Delhi,Mansarover Garden,4.0,2700.0,Furnished,50000
Delhi,South Extension 2,4.0,3000.0,Semi-Furnished,250000
Delhi,Sector-18 Dwarka,3.0,1960.0,Semi-Furnished,30000
Delhi,Chattarpur,2.0,720.0,Semi-Furnished,15000
Delhi,Vasant Kunj,2.0,1050.0,Semi-Furnished,35000
Delhi,Mansa Ram Park,2.0,650.0,Semi-Furnished,12500
Delhi,Paschim Vihar,3.0,2250.0,Semi-Furnished,65000
Delhi,Sector 23 Dwarka,3.0,2000.0,Semi-Furnished,40000
Delhi,Safdarjung Enclave,3.0,2700.0,Semi-Furnished,95000
